;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175
0;3,06;0,983;0;4,042;0,79;0;0;0;0;0;5,578;3,06;0;0;0;0;0;0;0;0;0;0;0;2,946;1,434;1,75;0;0;0;0;0;0;1,44;0;0;0;0;1,434;0;0;0;0;1,946;0;0;0;0;0;1,946;0;0;0;1,946;2,946;0;0;0;0;0;0;2,434;2,44;0;0;0;0;0;0;0;0;0;2,868;0;0;0;2,44;0;0;0;0;0;0;0;0;0;1,946;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;1,44;0;0;1,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;2,046;1,048;2,428;0;0;0;2,684;1,914;0;0;0;0;0;0;2,796;0;0;0;0;0;3,428;0;0;0;0;0;0
1;0;0;0;0;1,518;0;0;0;0;3,06;3,06;0;3,06;5,12;0;2,434;0;0;0;0;0;0;1,946;0;0;2,946;0;0;0;0;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,44;0;2,44;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;2,44;0;2,946;0;0;0;0;0;0;0;0;2,434;0;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,158;0;0;0;0;0;3,428;0;0;0;0;0;0
2;0;0;0;3,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;2,524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,868;2,434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;2,258;0;0;0;2,946;0;0;0;0;1,338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,44;0;0;0;1,928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,38;0;0;1,946;1,946;0;0;0;0;0;0;0;0;0;2,548;0;0;0;0;0;0;0;0;0;0;0;0;0;1,79;0;0;0
4;0;0;0;0;2,524;0;0;0;0;0;0;0;0;3,06;0;0;0;0;0;0;0;0;0;0;1,946;0;1,44;1,946;2,946;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,752;0;0;0;0;0;0;0;0;0;0;0;3,279;0;0;0;0;0;0;0;0;2,946;0;0;2,946;0;0;0;0;2,434;0;0;2,946;0;2,434;0;1,434;0;0;0;1,434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,44;1,946;0;0;1,244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;0;1,928;0;0;0;0;0;0;0;0;1,946;5,892;0;2,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;2,06;1,518;2,06;3,06;0;0;9,18;3,06;10,41;0;0;2,946;0;0;0;0;2,434;1,44;2,946;1,35;2,946;1,946;0;1,946;2,946;0;0;2,946;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;0;0;0;1,946;2,946;0;2,946;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0;2,258;0;0;0;0;0;5,38;0;0;1,928;0;0;0;0,752;0;0;0;2,434;1,946;0;0;1,434;1,946;0;0;0;0;0;0;0;4,386;0;0;0;0;0;0;0;0;0;0;3,184;0;0;0;0;0;0;2,868;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;2,434;0;1,946;0;3,428;0;0;0;0;0;0;0;0;0;0;3,428;0;0;0;0;0;0;0;0;0;0;0;2,053;0;0;0
6;10,698;6,096;10,698;4,85;14,53;10,216;5,578;0;0;0;16,36;6,12;15,094;23,396;0;3,38;0;0;0;0;9,48;22,978;21,364;38,77;28,272;12,524;0;0;1,946;0;0,928;3,874;0;0;5,892;0;0;0;0;0;4,184;2,946;1,946;1,946;0;1,928;2,946;0,828;0;4,892;2,946;0;1,946;0;0;2,946;0;3,192;0;0;0;2,946;0;0;1,434;0;0;0;1,946;4,386;0;0;0;2,946;0;2,44;0;1,946;0;0;1,928;0;0;2,44;2,946;0;0;0;0;0;0;0;0;3,868;1,946;0;1,338;2,946;0;1,946;0;2,434;0;0;3,892;2,946;2,434;2,946;0;0;0;0;0;5,38;0;0;0;4,38;0;2,946;0;1,946;0;2,946;0;2,44;0;2,434;0;0;2,946;2,946;1,946;0;0;0;0;0;2,946;0;0;1,434;0;2,434;4,874;0;4,184;5,38;0;0;0;3,428;3,428;0;0;0;0;1,796;0;0;0;0;0;0;0;0;0;0;0;0;2,79;0;0;0;2,79;0
7;0;8,698;23,752;10,434;12,572;15,276;11,669;2,06;2,06;4,578;23,719;19,343;16,276;35,642;0;1,434;0;0;9,135;5,38;19,11;23,014;33,862;67,753;27,624;22,044;4,892;0;1,946;5,72;0,928;0;0;0;0;1,44;0;0;3,802;0;0;2,946;0;0;2,334;2,44;0;5,38;0;1,946;2,946;5,892;0;0;0;0;0;1,44;0;2,434;0;0;2,946;0;0;2,946;0;1,434;2,768;0;2,946;0;2,946;0;0;0;0;1,434;0;0;0;2,44;0;0;0;2,874;0;0;1,946;1,946;2,946;6,82;0;0;2,434;0;0;4,698;0;0;0;2,946;0;0;2,262;0;0;1,946;0;0;0;5,892;4,892;5,38;0;0;0;0;0;0;0;0;0;0;0;0;4,38;0;2,946;0;0;0;0;0;2,946;2,946;0;0;0;3,38;1,434;7,26;5,204;2,946;3,698;1,946;0;0;1,946;0;0;0;0;0;0;0;0;0;0;2,796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;3,06;6,644;7,434;5,578;16,156;9,627;10,216;5,12;4,042;3,036;22,944;19,789;26,699;42,026;0;1,928;0;0;6,078;19,604;14,218;6,326;41,624;39,418;18,978;2,946;5,838;0;1,946;0;3,856;5,136;1,434;0;0;0;2,44;0;7,838;0;0;0;0;0;1,928;2,434;0;0;0;0;0;0;0;0;0;0;0;3,38;0;1,44;0;1,946;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;2,946;0;1,928;0;1,44;0;0;2,44;2,434;0;0;0;0;3,892;0;0;0;1,338;1,946;0;4,386;2,946;0;0;0;0;0;1,434;0;0;0;0;0;0;0;1,946;0;5,892;2,946;1,44;0;0;5,892;0;0;0;0;0;0;0;0;0;0;0;0;1,946;1,928;0;0;0;0;0;0;0;0;5,892;2,434;0;0;0;5,38;7,838;2,686;2,678;2,428;0;0;0;0;0;2,79;0;0;0;0;0;0;3,428;0;0;0;0;0;0;0;0;0;0;0
9;4,86;3,06;11,698;12,24;3,94;6,644;2,06;5,12;8,638;3,225;20,42;18,36;29,178;36,172;0;2,874;0;0;1,946;0;15,14;11,272;11,784;29,614;4,892;2,44;4,186;3,624;0;0;0;0;0;0;7,82;0;2,44;1,946;0;4,362;2,946;0;1,258;0;0;0;2,946;0;0;1,44;0;0;0;2,946;0;0;1,946;5,536;0;0;2,44;3,297;0;1,946;0;0;0;0;0;2,946;0;0;2,946;1,946;0;0;0;0;0;2,434;0,928;0;0;2,946;0;1,946;0;0;0;0;2,946;1,946;1,946;0;1,434;0;1,434;2,946;1,946;0;0;0;0;0;0;0;0;1,434;0;2,946;1,44;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;2,946;2,946;0;0;2,946;0;2,946;0;2,946;0;0;2,35;0;0;0;0;4,892;0;0;5,297;0;0;0;6,106;0;0;0;2,158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;14,669;1,893;11,698;3,06;6,108;0;8,18;0;10,347;15,3;6,12;1,518;20,42;34,112;0;0;0;0;3,386;10,499;2,946;1,946;12,111;14,218;4,737;0;4,892;0;3,88;0;0,928;0;1,434;3,892;4,874;1,946;0;1,946;0;2,946;0;0;2,946;1,434;0;0;0;0;0;1,946;0;1,946;0;0;0;1,946;0;3,874;0;2,434;2,946;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;1,44;0;4,186;0;0;1,44;2,946;0;0;0;2,946;0;6,802;0;0;2,434;0;0;2,946;0;5,731;0;0;1,828;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;1,946;0;0;13,206;0;0;0;2,44;2,946;0;0;0;2,946;0;0;2,946;1,258;0;0;1,345;0;2,946;0;0;0;0;0;0;0;0;0;1,946;0;2,879;0;0;0;0;0;0;9,652;0;2,796;0;0;0;2,796;0;0;0;0;3,428;0;0;0;0;0;0;0;0
11;0;0;8,108;6,12;2,06;0;3,06;3,578;5,584;4,578;0;14,3;22,745;29,064;0;0;0;0;0;2,946;1,946;3,38;10,278;12,706;3,892;1,434;0;2,946;0;2,946;0,244;1,946;0;0;5,892;0;0;3,596;2,946;0;0;2,946;0;4,386;1,44;0;3,874;0;0;1,946;0;0;0;0;0;0;0;2,698;0;3,868;2,434;1,946;0;0;2,946;0;0;0;0;0;2,946;5,13;1,946;2,434;0;0;0;0;0;2,946;0;0;0;0;0;0;0;2,434;0;0;5,38;2,24;2,946;6,718;6,326;0;2,946;1,434;0;2,434;0;3,368;0,928;0;2,88;0;0;0;0;0;0;0;0;0;2,946;0;2,434;1,946;0;2,946;1,24;1,946;0;0;0;0;1,928;0;0;0;0;0;3,502;4,19;2,946;1,946;0;0;0;0;0;2,946;2,434;0;2,434;0;0;0;3,892;0;7,95;2,796;2,678;0;0;1,938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,428;0;0;0;0;0
12;3,06;0;8,644;8,644;0,983;2,06;4,85;0;2,431;2,06;8,638;11,698;14,3;23,216;0;0;0;0;0;4,698;2,946;14,622;11,784;1,946;2,946;5,386;0;2,946;0;0;0;0;0;0;0;0;0;0;0;2,946;0,928;2,44;0;0;0;0;0,244;0;0;0;0;0;4,868;0;0;2,44;0;3,874;1,946;0;2,946;0;0;0;1,946;0;0;0;1,44;0;0;0;2,946;0;0;0;0;0;1,946;0;0;0;0;0;0;0;2,946;0;0;4,109;0;2,946;0;0;0;3,892;5,892;0;0;0;2,434;0;0;0;0;0;0;0;0;0;0;0;0;2,351;1,351;0;1,946;0;0;0;0;2,946;0;1,746;0;0;3,784;2,434;0;2,946;0;0;1,075;5,892;0;0;0;0;0;0;1,434;2,946;1,75;5,38;0;1,75;0;1,351;0;0,794;2,734;2,678;0;0;0;0;3,428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,428;0;0;0;0
13;3,06;0;0;4,578;5,936;5,12;0;0;3,06;6,12;5,12;9,079;9,18;14,758;0;0;0;0;1,946;2,946;2,345;1,946;17,164;13,218;0;2,946;1,262;0;0;2,946;0;0;0;0;5,892;0;2,44;0;0;0;0;0;1,946;0;0;3,874;0;0;0;0;1,334;0;0;1,946;0;0;0;2,44;1,946;1,946;2,946;2,946;2,946;1,946;1,946;0;0;0;2,44;3,892;0;0;0;0;0;2,946;0;0;4,38;0;2,44;0;3,874;4,38;0;0;0;2,946;0;0;2,946;0;0;3,892;2,946;1,946;1,946;0;0;0;3,88;4,874;0;0;0;1,258;0;0;0;0;2,946;0;0;2,351;1,351;0;2,946;0;0;0;2,434;0;0;1,44;1,928;0;0;0;0;2,434;0;0;0;0;2,946;0;0;2,946;0;0;0;5,434;2,351;2,434;0;2,946;0;3,208;2,946;4,489;0;5,856;0;6,856;0;0;4,954;0;0;0;0;3,428;0;0;0;0;0;0;0;0;0;0;3,428;0;0;0
14;2,06;0;8,18;3,06;0;5,384;9,18;4,12;0;11,698;6,994;17,818;4,392;25,744;0;2,608;0;0;1,946;8,838;0;9,784;2,946;14,218;3,892;2,946;0;2,946;4,892;0;0,928;0;1,946;0;0;0,75;0;0;0;2,434;2,946;0;1,434;0;0;0;4,892;1,946;1,946;0;1,946;0;1,946;0;0;2,946;0;0;0;1,946;0;3,38;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;1,946;0;0;2,44;2,44;0,244;0;0;0;0;1,946;0;0;0;0;3,362;0;3,208;0;1,946;1,946;4,362;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;1,44;0;2,946;0;3,696;0;2,946;2,434;5,386;0;0;0;1,928;0;0;0;1,928;0;0;0;0;0;0;0;0;0;2,946;0;2,434;2,351;4,38;2,946;2,946;0;0;4,892;2,946;3,428;0;0;6,114;0;0;0;0;0;0;0;2,428;0;0;2,79;0;0;0;0;0;0;0;0;0;0;0;0
15;0;5,12;13,494;3,489;5,904;6,12;6,12;2,06;5,489;8,326;5,906;17,282;19,692;43,744;0;1,946;0;0;3,892;4,38;3,892;0;11,784;12,341;1,44;8,332;1,946;2,946;0;0;0;0;0;2,946;2,44;0;2,434;0;5,38;0;0;2,946;0;5,892;1,946;2,946;1,928;0;0;0;0;0;0;1,831;0;0;1,946;2,44;1,946;0;0;4,892;0;0;0;0;2,946;0;2,946;2,434;1,946;0;0;0;0;2,946;0;2,44;1,434;0;2,44;0;0;0;0;0;0;0;0;0;4,386;1,946;1,434;0;4,38;0;4,892;0;0;0;0;0;0;0;4,892;1,946;0;0;0;2,946;0;2,946;2,946;1,334;0;6,326;2,946;0;0;1,928;1,946;2,434;0;0;1,928;0;0;0;9,242;0;0;0;0;0;0;0;0;0;0;1,946;1,928;0;2,351;0;2,946;1,946;2,946;8,584;0;0;0;17,818;0;1,686;0;0;2,796;0;2,796;0;2,796;0;1,938;0;6,856;3,428;0;0;0;0;0;0;3,713;0;0;0
16;0;0;0;4,048;2,06;12,764;2,06;2,949;3,06;4,489;2,06;3,06;13,758;26,588;0;0;0;0;0;4,892;9,248;7,326;2,946;4,892;6,838;0;0;2,946;0;0;0;1,946;0;0;2,946;2,946;0;1,946;5,386;8,326;0;2,946;0;4,892;0;0;2,44;0;0;0;2,68;0;2,44;0;2,946;0;0;2,44;0;0;2,946;0;0;0;0;2,946;0;2,946;0,735;0,928;0;1,946;0;1,44;0;0;5,386;0;0;0;0;0;0;2,874;0;0;1,946;2,44;0;0;5,892;3,786;0;1,351;1,24;0;1,946;2,44;0;0;0;2,44;0;0;1,44;1,946;0;2,946;0;0;0;0;0;0;0;0;7,838;0;2,946;2,946;0;2,946;0;0;0;0;1,44;5,892;0;0;0;0;1,946;0;2,334;0;0;0;2,434;1,946;0;1,946;9,977;5,892;6,838;0;2,946;4,297;0;0;0;9,534;3,428;0;0;0;4,734;1,79;0;0;2,428;0;0;0;0;0;0;3,428;0;2,686;0;0;8,284;0;0;0
17;4,32;0;3,06;8,644;6,809;8,627;3,06;12,3;0;10,427;11,24;8,456;13,982;21,463;0;0;0;0;0;9,972;11,968;13,652;19,467;19,622;2,946;5,208;0;4,892;0;0;1,946;0;0;2,946;0;0;0;0;2,946;0;0;0;1,946;6,838;0;2,44;0,928;0;0;1,44;0;0;0;0;0;7,826;2,946;9,078;1,946;3,696;2,946;4,38;0;2,946;1,946;0;1,946;1,44;0;0;0;0;2,946;0;0;0;2,946;0;0;2,44;0;0;0;0;0;0;0;0;0;0;2,44;4,892;0;2,44;9,218;0;0;7,82;0;2,946;0;0;0;0;5,141;0;0;0;0;1,946;0;0;0;0;2,351;4,192;0;0;0;0;0;2,946;0;0;3,892;0;0;2,434;8,242;0;0;0;0;0;0;0;2,946;2,946;0;1,262;0;0;4,297;5,204;3,892;0;0;2,334;3,892;0;6,114;3,428;3,428;0;0;0;3,428;2,79;6,856;1,796;0;5,856;0;3,428;0;0;0;0;0;0;0;0;3,428;0;0;0
18;0;2,06;3,06;5,036;3,314;5,12;5,12;0;8,644;12,764;12,758;24,456;19,936;62,009;0;0;0;0;3,204;16,482;7,076;3,892;8,838;21,076;2,946;1,44;0;0;0,755;4,892;3,88;0;0;0;0;2,946;0;0;3,892;0,735;0;4,296;0;0;1,44;0;0;0;1,946;0;0;0,666;1,946;0;0;0;1,946;4,368;0;0;2,434;1,946;0;0;1,44;0;0;0;1,946;0;0;0;0;5,892;0;2,44;0;1,434;1,946;0;4,38;0;0;2,88;0;0;0;0;0;0;2,946;2,262;0;3,892;1,946;0;0;2,946;0;0;2,44;0;0;0;0,667;0;0;0;0;0;0;0;0;0;7,326;0;1,351;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0,75;2,946;0;0;2,946;0;5,386;2,946;1,946;4,892;1,946;2,434;1,44;0;2,946;1,946;1,946;6,135;7,91;4,351;9,652;0;0;4,954;3,428;3,428;0;2,428;2,569;2,428;0;0;0;6,856;0;3,428;0;3,428;6,856;3,428;3,428;2,79;0;0
19;3,06;0;0;6,12;0;0;0;5,013;0;2,06;1,518;7,549;18,794;16,74;0;0;0;0;1,946;2,946;3,868;2,946;12,218;7,326;0;3,505;0;0;1,946;0;0;1,946;0;0;0;0;0;0;3,874;2,434;0;0;0;0;0;0;0;2,946;2,946;0;0;1,946;0;0;0;0;2,334;3,79;1,946;1,946;2,946;1,434;0;0;0;0;0;0;1,946;0;0;0;3,675;4,386;2,946;0;0;0;0;1,44;0;0;1,434;0;0;0;0;0;1,946;0;4,195;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,38;2,946;0;0;0;0;0;0;0;0;1,946;0;0;0;0;2,946;2,946;0;1,946;0;0;0;0;0;0;0;1,244;6,047;0;2,946;0;0;0;0;0;6,418;2,428;8,008;2,053;0;0;5,366;2,678;0;2,574;0;1,796;0;0;0;2,686;0;3,428;3,428;0;6,218;5,856;5,856;0;0;0;0
20;0;0;0;3,06;3,06;15,735;2,06;0;3,06;0;2,518;2,06;6,12;6,12;0;0;0;0;1,946;0;0;1,946;1,75;4,681;1,946;1,928;1,946;0;4,386;0;2,946;0;0;0;0;1,946;2,434;0;0;0;0;0;0;0;0;2,946;0;0;0;0;2,946;2,946;0;0;0;0;2,44;0;0;0;0;4,892;0;1,752;0;0;0;0;0;1,946;0;0;0;0;0;0;0;4,874;0;0;0;0;0;0;0;1,946;0;0;0;0,24;0;0;0;0;1,434;0;3,892;2,262;0;0;0;0;2,946;0;1,44;1,946;0;0;0;0;0;2,946;0;0;0;0;0;0;1,946;0;0;0;0;0;0;0;0;2,44;0;0;0;0;1,946;0;0;0;0;0;0;0;0;3,892;0;0;0;0;0;1,946;0;3,62;0;2,686;4,603;0;0;3,428;3,428;3,428;0;0;3,428;0;0;0;3,428;0;0;0;0;0;0;0;6,218;0;0;0
21;0;0;0;3,953;0,983;3,043;0;0;1,983;4,949;1,518;0;10,698;0;0;0;0;0;5,243;4,892;2,434;0;0;0;0;2,258;0;0;2,946;2,262;2,946;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;2,946;0;0;2,946;1,946;2,262;0;0;0;0;0;0;0;0;0;0;0;2,35;2,44;0;0;0;2,434;0;0;0;0,928;0;0;0;0;0;0;2,44;0;0;0;1,946;0;0;0;0;0;2,684;2,44;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;1,946;0;0;0;1,946;0;0;2,946;0;0;0;0;0;0;0;2,946;0;0;0;0;2,434;0;2,946;0;0;0;0;0;0;2,678;2,555;0,833;0;0;0;0;0;2,428;0;0;2,428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;6,12;1,983;5,12;2,524;0;0;5,12;2,429;0;3,06;6,932;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;4,874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;1,946;0;0;0;0;0;0;0;2,946;0;0;0;0;0;2,946;2,434;2,946;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;1,434;0;0;0;0;0;0;0;1,752;0;1,434;0;0;0;0;0;0;0;0;0;2,946;0;0;0;1,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;2,428;0;0;0;0;0;0;2,428;0;0;0;0;3,428;2,428;0;0;0;0;0;0;3,428;5,856;0;0;0;0
23;0;2,06;3,06;3,06;1,524;3,06;1,524;0;0;0;0;6,12;4,947;0;0;0;0;0;0;0;0;0;2,946;0;1,946;0;0;1,946;0;1,946;0;0;0;0;0;1,434;2,44;0;0;0;2,434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,434;0;0;0;0;0;0;0;0;0;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;2,946;0;0;0;1,44;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,24;0;0;0;0;0;2,946;0;0;0;0;0;1,44;0;0;0;0;0;0;2,44;0;0;1,686;0;0;0;0;0;0;6,224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
